time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.7995705869199754e-05,6.5201245774005654e-06,10.005784974028481,0.0012833960339078132,0.003784867519108559,0.0,-0.001064085665979197,0.0003817168565637891,0.19281820199996705,-0.013667811517422367,-0.02254532928473186,0.0,465.8344622643138,464.06854342507694,466.4218085868164,465.35341815236575
0.12000000000000001,-0.00015275527037049742,5.285437132512591e-05,10.019364998660622,0.0006824606246906839,0.0029203214609969663,0.0,-0.003337525730040579,0.001110658296353039,0.25983623348823864,-0.02013435957318555,-0.015998079384935887,0.0,426.7329558739873,427.2913783713466,425.9793048422564,425.4261468311864
0.18,-0.00043903351767649837,0.0001468907125026947,10.041103198159758,0.0028684831659377963,0.007041143152301643,0.0,-0.006661562296136328,0.0023060088867669984,0.46470663547815516,-0.041551558396392387,0.00752287617075818,0.0,467.6929629551074,469.5211163709458,470.4126222745883,468.7513394981199
0.23999999999999996,-0.0010136486709363974,0.00035572926728834927,10.073866083983418,0.003913101919103212,0.010599569827200561,0.0,-0.012910508299947804,0.004795733058008927,0.6273099154294164,-0.06339077732334945,-0.013023555431412356,0.0,456.9367750578515,455.2961233081329,457.93510636839886,456.19341112992686
0.3,-0.0019689507668060146,0.0006989790889445587,10.11092319665892,0.0002475371466230669,0.0103435949715589,0.0,-0.01891923042628839,0.006341432734402698,0.6079388116475382,-0.06883225552554946,-0.02225433845709653,0.0,397.65140687255774,396.8050931695705,398.32557751238176,397.82403025415357
0.36000000000000004,-0.0033281118877247755,0.001069005829164206,10.151802872026485,6.279446930122136,0.009213809702311337,0.0,-0.026269129679470125,0.005564718770908118,0.7546318661428677,-0.07435975794898261,-0.02856298339023217,0.0,452.27874778074346,451.7703606616624,451.97538739662025,451.5260055544395
0.4200000000000001,-0.00510635561753701,0.0013252321956818654,10.20196421050992,6.280590779606909,0.007969373852212414,0.0,-0.03285906856358011,0.003134548615632727,0.9172977598702392,-0.10152358324080579,-0.022163001301798296,0.0,456.2965681883702,456.80700061843754,458.45559496653436,456.28693940319727
0.48000000000000015,-0.007256088742588943,0.0014294229945899797,10.261892730511168,6.274487913628338,0.007423826706809855,0.0,-0.038749161170180346,-0.00033869090289316605,1.0801768326566394,-0.10298394005822833,-0.03313798660980014,0.0,457.75638589899836,456.8821909196776,457.3215919000206,457.1965659355727
0.5400000000000001,-0.009738186591129547,0.00121492260624004,10.329923712484588,6.270924821851008,0.008241816410364144,0.0,-0.04405331602298924,-0.007157755386703404,1.1874129768413222,-0.12194288021791155,-0.015948096407044792,0.0,439.0991133831301,440.5224655020122,441.7528628698835,440.17622484321475
0.6000000000000002,-0.01257921722719406,0.0004822375746245386,10.406009363294693,6.26450380921661,0.010850671648617194,0.0,-0.050960326541447984,-0.017985902557995703,1.3485854349451916,-0.1127077044157994,-0.03786844586985515,0.0,458.3368753899086,456.591530475657,456.84215645437104,457.5655862050111
0.6600000000000003,-0.01585258087278981,-0.000990062110406408,10.489618658131795,6.261395829795131,0.009301383010098085,0.0,-0.05800574983106595,-0.03142052456482258,1.4382768874685286,-0.09293270313778958,-0.0484590196513507,0.0,436.89747615726736,436.01271100203843,433.6956857054672,435.3431344342991
0.7200000000000003,-0.019509860907537185,-0.0032711306847397295,10.577804690574734,6.2690494608191525,0.007695828316381714,0.0,-0.06376135724813857,-0.04383407273973316,1.501192731839164,-0.1339955545932496,-0.06221635994596896,0.0,427.3298994496886,426.15368476076037,429.1971986740768,425.68751066043023
0.7800000000000004,-0.023481333573579496,-0.006164056869065044,10.671009164108355,6.277793760314067,0.0039785164498225,0.0,-0.06823812567407708,-0.05174116484915383,1.6054947874984091,-0.09030173905347263,-0.06159429843473746,0.0,440.5993750291539,440.64799449579255,438.591780506926,442.1924341624126
0.8400000000000004,-0.02765170251166334,-0.009413608832104976,10.772724320260561,6.272789517314779,0.0002789233438109662,0.0,-0.07035305234173396,-0.057135027916952984,1.784745178685282,-0.09865108528564813,-0.0618104629205432,0.0,463.8585136980655,463.8389862857471,464.18178053786784,463.51921959410527
0.9000000000000005,-0.03186932803356251,-0.013074794249853609,10.882649186978805,6.267678222690517,6.2811547118750575,0.0,-0.06998901660105068,-0.0654286601573461,1.8792596060586675,-0.08993333362900208,-0.04999796689421098,0.0,437.12987105377755,438.1106697487539,438.6118191131467,439.3272487256087
0.9600000000000005,-0.03602341365755958,-0.01731026282603126,10.996526190209794,6.2623145798902655,6.278874137743637,0.0,-0.06827909082102586,-0.07624662838617607,1.9165691098392144,-0.09344134654377174,-0.06056615872625744,0.0,421.1750826452021,420.2580365243832,419.64246768466563,419.3303503340259
1.0200000000000005,-0.04002546102955829,-0.022352970451201923,11.115525204232828,6.2581736186762384,6.2781726322342895,0.0,-0.06507001199239495,-0.09226574399234656,2.049824770824292,-0.10795751912448137,-0.08056381286205236,0.0,452.23193019462326,450.61501696361364,451.01076031237284,449.82869899890073
1.0800000000000005,-0.043847425236947665,-0.028454671372177852,11.242547972435549,6.252282469181912,0.0009329404485072246,0.0,-0.06300672912968633,-0.1117380594278339,2.1840038949314557,-0.11763160004199102,-0.11775015135803571,0.0,453.2040627986217,450.1981247287148,452.14346142004655,451.35269184283396
